"Adults age 18 and older with any mental illness who did not receive treatment
",,,,
Adults with any mental illness who did not receive treatment,,,,
time_period,state,population,cohort,point_estimate
2013-15,New Mexico,all,All,57
2014-16,New Mexico,all,All,56
2016-17,New Mexico,all,All,54
2017-18,New Mexico,all,All,57
2018-19,New Mexico,all,All,54
2019-20,New Mexico,all,All,46
2009-11,New York,all,All,61
2012-14,New York,all,All,60
2013-15,New York,all,All,56
2014-16,New York,all,All,57
2016-17,New York,all,All,60
2017-18,New York,all,All,60
2018-19,New York,all,All,58
2019-20,New York,all,All,58
2009-11,North Carolina,all,All,59
2012-14,North Carolina,all,All,49
2013-15,North Carolina,all,All,50
2014-16,North Carolina,all,All,51
2016-17,North Carolina,all,All,55
2017-18,North Carolina,all,All,57
2018-19,North Carolina,all,All,52
2019-20,North Carolina,all,All,51
2009-11,North Dakota,all,All,55
2012-14,North Dakota,all,All,58
2013-15,North Dakota,all,All,56
2014-16,North Dakota,all,All,58
2016-17,North Dakota,all,All,56
2017-18,North Dakota,all,All,55
2018-19,North Dakota,all,All,50
2019-20,North Dakota,all,All,48
2009-11,Ohio,all,All,54
2012-14,Ohio,all,All,54
2013-15,Ohio,all,All,53
2014-16,Ohio,all,All,53
2016-17,Ohio,all,All,54
2017-18,Ohio,all,All,51
2018-19,Ohio,all,All,50
2019-20,Ohio,all,All,56
2009-11,Oklahoma,all,All,60
2012-14,Oklahoma,all,All,58
2013-15,Oklahoma,all,All,56
2014-16,Oklahoma,all,All,55
2016-17,Oklahoma,all,All,60
2017-18,Oklahoma,all,All,59
2018-19,Oklahoma,all,All,57
2019-20,Oklahoma,all,All,54
2009-11,Oregon,all,All,56
2012-14,Oregon,all,All,53
2013-15,Oregon,all,All,51
2014-16,Oregon,all,All,55
2016-17,Oregon,all,All,60
2017-18,Oregon,all,All,59
2018-19,Oregon,all,All,55
2019-20,Oregon,all,All,54
2009-11,Pennsylvania,all,All,54
2012-14,Pennsylvania,all,All,52
2013-15,Pennsylvania,all,All,53
2014-16,Pennsylvania,all,All,54
2016-17,Pennsylvania,all,All,54
2017-18,Pennsylvania,all,All,53
2018-19,Pennsylvania,all,All,52
2019-20,Pennsylvania,all,All,52
2009-11,Rhode Island,all,All,47
2012-14,Rhode Island,all,All,55
2013-15,Rhode Island,all,All,49
2014-16,Rhode Island,all,All,48
2016-17,Rhode Island,all,All,46
2017-18,Rhode Island,all,All,49
2018-19,Rhode Island,all,All,51
2019-20,Rhode Island,all,All,50
2009-11,South Carolina,all,All,54
2012-14,South Carolina,all,All,55
2013-15,South Carolina,all,All,58
2014-16,South Carolina,all,All,60
2016-17,South Carolina,all,All,57
2017-18,South Carolina,all,All,51
2018-19,South Carolina,all,All,56
2019-20,South Carolina,all,All,51
2009-11,South Dakota,all,All,53
2012-14,South Dakota,all,All,53
2013-15,South Dakota,all,All,54
2014-16,South Dakota,all,All,53
2016-17,South Dakota,all,All,56
2017-18,South Dakota,all,All,55
2018-19,South Dakota,all,All,52
2019-20,South Dakota,all,All,46
2009-11,Tennessee,all,All,57
2012-14,Tennessee,all,All,57
2013-15,Tennessee,all,All,58
2014-16,Tennessee,all,All,57
2016-17,Tennessee,all,All,51
2017-18,Tennessee,all,All,52
2018-19,Tennessee,all,All,54
2019-20,Tennessee,all,All,46
2009-11,Texas,all,All,65
2012-14,Texas,all,All,60
2013-15,Texas,all,All,60
2014-16,Texas,all,All,62
2016-17,Texas,all,All,62
2017-18,Texas,all,All,60
2018-19,Texas,all,All,61
2019-20,Texas,all,All,62
2009-11,Utah,all,All,57
2012-14,Utah,all,All,56
2013-15,Utah,all,All,56
2014-16,Utah,all,All,57
2016-17,Utah,all,All,51
2017-18,Utah,all,All,51
2018-19,Utah,all,All,50
2019-20,Utah,all,All,50
2009-11,Vermont,all,All,45
2012-14,Vermont,all,All,43
2013-15,Vermont,all,All,44
2014-16,Vermont,all,All,46
2016-17,Vermont,all,All,41
2017-18,Vermont,all,All,43
2018-19,Vermont,all,All,43
2019-20,Vermont,all,All,43
2009-11,Virginia,all,All,53
2012-14,Virginia,all,All,51
2013-15,Virginia,all,All,53
2014-16,Virginia,all,All,54
2016-17,Virginia,all,All,55
2017-18,Virginia,all,All,55
2018-19,Virginia,all,All,55
2019-20,Virginia,all,All,47
2009-11,Washington,all,All,53
2012-14,Washington,all,All,59
2013-15,Washington,all,All,56
2014-16,Washington,all,All,54
2016-17,Washington,all,All,53
2017-18,Washington,all,All,54
2018-19,Washington,all,All,54
2019-20,Washington,all,All,50
2009-11,West Virginia,all,All,48
2012-14,West Virginia,all,All,54
2013-15,West Virginia,all,All,54
2014-16,West Virginia,all,All,52
2016-17,West Virginia,all,All,51
2017-18,West Virginia,all,All,52
2018-19,West Virginia,all,All,52
2019-20,West Virginia,all,All,51
2009-11,Wisconsin,all,All,60
2012-14,Wisconsin,all,All,53
2013-15,Wisconsin,all,All,52
2014-16,Wisconsin,all,All,53
2016-17,Wisconsin,all,All,53
2017-18,Wisconsin,all,All,49
2018-19,Wisconsin,all,All,45
2019-20,Wisconsin,all,All,47
2009-11,Wyoming,all,All,61
2012-14,Wyoming,all,All,53
2013-15,Wyoming,all,All,52
2014-16,Wyoming,all,All,56
2016-17,Wyoming,all,All,64
2017-18,Wyoming,all,All,65
2018-19,Wyoming,all,All,62
2019-20,Wyoming,all,All,54
