ID	timestamp	Self_Esteem1	Self_Esteem2	Self_Esteem3
54	2022-04-18 22:43:00	3	3	2
55	2022-04-18 22:51:00	3	3	4
56	2022-04-18 23:00:00	1	3	1
57	2022-04-18 23:05:00	2	2	2
58	2022-04-18 23:11:00	5	2	4
59	2022-04-18 23:12:00	1	3	1
60	2022-04-18 23:38:00	1	3	2
61	2022-04-18 23:45:00	5	2	4
62	2022-04-19 00:10:00	2	3	2
63	2022-04-19 00:11:00	3	4	2
64	2022-04-19 00:15:00	3	2	2
65	2022-04-19 00:18:00	1	1	1
66	2022-04-19 00:24:00	5	5	5
67	2022-04-19 00:28:00	4	2	4
68	2022-04-19 00:32:00	1	3	1
69	2022-04-19 01:41:00	1	1	1
70	2022-04-19 01:59:00	2	3	4
71	2022-04-19 02:06:00	5	1	2
72	2022-04-19 02:18:00	4	3	1
73	2022-04-19 02:27:00	5	2	1
74	2022-04-19 03:40:00	3	3	2
75	2022-04-19 04:53:00	2	3	2
76	2022-04-19 05:20:00	4	4	3
77	2022-04-19 06:31:00	3	2	4
78	2022-04-19 08:27:00	1	2	2
79	2022-04-19 08:36:00	2	4	1
80	2022-04-19 08:38:00	1	3	5
81	2022-04-19 09:17:00	4	2	4
82	2022-04-19 09:18:00	2	3	2
83	2022-04-19 09:53:00	2	3	2
84	2022-04-19 09:57:00	1	3	2
85	2022-04-19 10:24:00	3	2	2
86	2022-04-19 10:25:00	3	3	3
87	2022-04-19 10:59:00	2	1	1
88	2022-04-19 13:52:00	1	3	1
89	2022-04-19 14:21:00	5	3	4
90	2022-04-19 14:45:00	3	1	4
91	2022-04-19 16:36:00	2	2	3
92	2022-04-19 19:13:00	1	1	1
93	2022-04-19 19:30:00	2	3	3
94	2022-04-19 19:31:00	3	3	4
95	2022-04-19 19:39:00	3	4	4
96	2022-04-19 19:40:00	3	4	3
97	2022-04-19 20:10:00	1	3	3
98	2022-04-19 20:13:00	1	3	2
99	2022-04-19 20:20:00	2	3	3
100	2022-04-19 20:24:00	4	3	3
101	2022-04-19 20:31:00	5	4	3
102	2022-04-19 20:39:00	2	3	1
103	2022-04-19 20:42:00	3	3	2
104	2022-04-19 20:45:00	5	1	4
105	2022-04-19 20:52:00	3	3	3
106	2022-04-19 21:02:00	3	1	1
107	2022-04-19 21:07:00	3	3	4
108	2022-04-19 21:10:00	5	5	4
109	2022-04-19 21:10:00	2	3	3
110	2022-04-19 21:12:00	1	3	2
111	2022-04-19 21:12:00	4	2	1
112	2022-04-19 21:15:00	2	3	1
113	2022-04-19 21:15:00	3	1	1
114	2022-04-19 21:26:00	4	5	4
115	2022-04-19 21:27:00	2	2	2
116	2022-04-19 21:32:00	3	3	2
117	2022-04-19 21:38:00	5	1	4
118	2022-04-19 21:48:00	2	4	1
119	2022-04-19 21:50:00	1	4	3
120	2022-04-19 21:51:00	4	2	3
121	2022-04-19 21:55:00	2	4	2
122	2022-04-19 21:57:00	3	1	1
123	2022-04-19 22:04:00	1	4	1
124	2022-04-19 22:09:00	3	3	3
125	2022-04-19 22:19:00	1	3	1
126	2022-04-19 22:22:00	1	1	1
127	2022-04-19 22:23:00	3	3	3
128	2022-04-19 22:31:00	3	4	3
129	2022-04-19 22:39:00	3	4	1
130	2022-04-19 22:42:00	5	2	3
131	2022-04-19 22:44:00	3	3	3
132	2022-04-19 22:45:00	1	3	5
133	2022-04-19 22:49:00	5	2	3
134	2022-04-19 22:50:00	4	2	3
135	2022-04-19 23:13:00	5	1	4
136	2022-04-19 23:23:00	2	2	1
137	2022-04-19 23:28:00	3	3	3
138	2022-04-19 23:28:00	2	4	2
139	2022-04-19 23:38:00	2	4	3
140	2022-04-19 23:43:00	1	5	1
141	2022-04-19 23:51:00	3	3	2
142	2022-04-19 23:53:00	1	1	3
143	2022-04-20 00:00:00	1	3	3
144	2022-04-20 00:07:00	3	3	2
145	2022-04-20 00:24:00	2	3	1
146	2022-04-20 00:25:00	1	1	1
147	2022-04-20 00:50:00	1	2	2
148	2022-04-20 01:10:00	2	5	4
149	2022-04-20 01:48:00	4	2	2
150	2022-04-20 02:03:00	5	3	2
151	2022-04-20 03:54:00	2	3	2
152	2022-04-20 04:20:00	2	5	2
153	2022-04-20 04:42:00	4	3	2
154	2022-04-20 06:15:00	3	5	3
155	2022-04-20 06:28:00	2	3	1
156	2022-04-20 07:20:00	2	3	1
157	2022-04-20 07:35:00	3	3	1
158	2022-04-20 08:37:00	5	2	2
159	2022-04-20 10:51:00	3	2	4
160	2022-04-20 11:43:00	5	4	3
161	2022-04-20 12:16:00	1	2	1
162	2022-04-20 13:24:00	1	3	4
163	2022-04-20 13:24:00	1	3	3
164	2022-04-20 13:43:00	3	2	1
165	2022-04-20 14:41:00	3	2	4
166	2022-04-20 16:11:00	5	2	2
167	2022-04-20 16:37:00	2	3	3
168	2022-04-20 16:44:00	3	3	2
169	2022-04-20 17:44:00	2	4	4
170	2022-04-20 18:14:00	2	3	3
171	2022-04-20 19:24:00	3	2	2
172	2022-04-20 19:28:00	2	3	3
173	2022-04-20 21:11:00	3	3	1
174	2022-04-20 21:18:00	3	3	3
175	2022-04-20 22:01:00	2	5	5
176	2022-04-20 22:07:00	1	3	3
177	2022-04-20 22:17:00	3	5	3
178	2022-04-20 22:37:00	3	2	1
179	2022-04-20 22:50:00	2	3	4
180	2022-04-20 23:07:00	1	3	1
181	2022-04-20 23:15:00	2	4	1
182	2022-04-20 23:32:00	3	4	3
183	2022-04-20 23:45:00	1	2	1
184	2022-04-20 23:51:00	1	3	1
185	2022-04-21 00:36:00	4	2	2
186	2022-04-21 00:49:00	2	4	2
187	2022-04-21 00:59:00	1	3	1
188	2022-04-21 01:33:00	5	2	4
189	2022-04-21 01:39:00	1	3	1
190	2022-04-21 01:44:00	3	2	3
191	2022-04-21 02:29:00	2	2	1
192	2022-04-21 03:27:00	5	4	1
193	2022-04-21 04:54:00	1	1	1
194	2022-04-21 07:09:00	5	4	3
195	2022-04-21 10:12:00	4	4	4
196	2022-04-21 10:40:00	1	3	1
197	2022-04-21 13:23:00	4	4	5
198	2022-04-21 13:36:00	1	1	1
199	2022-04-21 15:26:00	1	3	1
200	2022-04-21 15:57:00	5	5	3
201	2022-04-21 17:47:00	4	4	3
202	2022-04-21 19:19:00	4	4	3
203	2022-04-21 20:26:00	4	2	3
204	2022-04-21 20:31:00	1	2	1
205	2022-04-21 20:47:00	5	2	3
206	2022-04-21 22:29:00	2	3	3
207	2022-04-21 23:02:00	3	4	3
208	2022-04-21 23:02:00	5	3	3
209	2022-04-21 23:11:00	5	1	5
210	2022-04-22 00:24:00	1	3	2
211	2022-04-22 02:35:00	1	2	1
212	2022-04-22 08:35:00	3	3	4
213	2022-04-22 11:56:00	4	4	3
214	2022-04-22 13:31:00	5	1	2
215	2022-04-22 22:00:00	4	5	3
216	2022-04-22 22:26:00	1	1	1
217	2022-04-24 05:23:00	4	2	1
218	2022-04-26 03:01:00	4	4	4
219	2022-04-26 21:59:00	3	3	1
220	2022-04-26 22:13:00	3	1	2
221	2022-04-26 23:15:00	5	1	5
222	2022-04-26 23:32:00	5	1	4
223	2022-04-26 23:56:00	5	4	4
224	2022-04-27 02:12:00	3	3	2
225	2022-05-11 19:06:00	2	3	3
226	2022-05-11 19:07:00	1	4	2
227	2022-05-11 19:09:00	4	2	3
228	2022-05-11 19:16:00	4	2	2
229	2022-05-11 19:19:00	1	5	1
230	2022-05-11 19:27:00	2	3	5
231	2022-05-11 19:30:00	3	4	3
232	2022-05-11 19:31:00	2	1	1
233	2022-05-11 19:45:00	2	3	4
234	2022-05-11 19:47:00	1	3	2
235	2022-05-11 19:47:00	1	4	2
236	2022-05-11 19:47:00	5	1	3
237	2022-05-11 19:48:00	5	1	5
238	2022-05-11 19:51:00	1	2	1
239	2022-05-11 19:51:00	3	3	4
240	2022-05-11 19:58:00	2	4	2
241	2022-05-11 20:13:00	3	3	3
242	2022-05-11 20:15:00	4	3	3
243	2022-05-11 20:15:00	4	3	4
244	2022-05-11 20:17:00	4	3	2
245	2022-05-11 20:18:00	4	3	3
246	2022-05-11 20:19:00	2	4	1
247	2022-05-11 20:34:00	2	3	2
248	2022-05-11 20:35:00	2	3	1
249	2022-05-11 20:36:00	1	3	1
250	2022-05-11 20:39:00	1	3	1
251	2022-05-11 20:41:00	5	1	4
252	2022-05-11 20:45:00	2	3	4
253	2022-05-11 20:50:00	1	3	1
254	2022-05-11 20:51:00	4	2	3
255	2022-05-11 20:57:00	4	3	3
256	2022-05-11 20:58:00	5	5	5
257	2022-05-11 21:02:00	5	5	1
258	2022-05-11 21:06:00	1	3	4
259	2022-05-11 21:08:00	5	3	4
260	2022-05-11 21:14:00	5	4	4
261	2022-05-11 21:14:00	5	4	4
262	2022-05-11 21:16:00	2	2	1
263	2022-05-11 21:19:00	4	2	1
264	2022-05-11 21:20:00	3	3	3
265	2022-05-11 21:20:00	3	2	2
266	2022-05-11 21:22:00	2	1	3
267	2022-05-11 21:22:00	5	2	4
268	2022-05-11 21:24:00	2	3	4
269	2022-05-11 21:25:00	1	1	3
270	2022-05-11 21:29:00	3	3	3
271	2022-05-11 21:30:00	3	3	2
272	2022-05-11 21:32:00	2	3	3
273	2022-05-11 21:34:00	5	5	4
274	2022-05-11 21:35:00	1	3	5
275	2022-05-11 21:35:00	3	3	1
276	2022-05-11 21:36:00	4	3	1
277	2022-05-11 21:38:00	4	3	3
278	2022-05-11 21:45:00	2	2	1
279	2022-05-11 21:46:00	4	3	3
280	2022-05-11 21:46:00	3	3	3
281	2022-05-11 21:47:00	1	1	2
282	2022-05-11 21:55:00	2	3	4
283	2022-05-11 21:56:00	4	3	1
284	2022-05-11 21:56:00	4	2	2
285	2022-05-11 21:56:00	3	3	3
286	2022-05-11 21:59:00	5	2	2
287	2022-05-11 22:01:00	1	3	5
288	2022-05-11 22:03:00	1	3	3
289	2022-05-11 22:05:00	2	3	2
290	2022-05-11 22:06:00	3	3	1
291	2022-05-11 22:07:00	1	3	1
292	2022-05-11 22:08:00	2	2	3
293	2022-05-11 22:10:00	3	3	1
294	2022-05-11 22:11:00	3	4	2
295	2022-05-11 22:11:00	4	4	3
296	2022-05-11 22:11:00	1	3	1
297	2022-05-11 22:14:00	3	3	2
298	2022-05-11 22:20:00	5	1	4
299	2022-05-11 22:21:00	5	5	5
300	2022-05-11 22:21:00	5	5	3
301	2022-05-11 22:21:00	4	3	3
302	2022-05-11 22:30:00	2	3	4
303	2022-05-11 22:32:00	1	1	1
304	2022-05-11 22:33:00	4	3	5
305	2022-05-11 22:34:00	2	2	5
306	2022-05-11 22:36:00	2	2	2
307	2022-05-11 22:38:00	3	2	2
308	2022-05-11 22:38:00	2	5	1
309	2022-05-11 22:41:00	4	3	1
310	2022-05-11 22:44:00	2	4	1
311	2022-05-11 22:45:00	2	2	3
312	2022-05-11 22:46:00	3	3	3
313	2022-05-11 22:50:00	1	3	2
