time_period,state,population,cohort,point_estimate
2009-11,New Jersey,all,All,15
2012-14,New Jersey,all,All,19
2013-15,New Jersey,all,All,17
2014-16,New Jersey,all,All,20
2016-17,New Jersey,all,All,23
2017-18,New Jersey,all,All,24
2018-19,New Jersey,all,All,22
2019-20,New Jersey,all,All,23
2009-11,New Mexico,all,All,25
2012-14,New Mexico,all,All,20
2013-15,New Mexico,all,All,18
2014-16,New Mexico,all,All,22
2016-17,New Mexico,all,All,24
2017-18,New Mexico,all,All,21
2018-19,New Mexico,all,All,23
2019-20,New Mexico,all,All,33
2009-11,New York,all,All,17
2012-14,New York,all,All,19
2013-15,New York,all,All,19
2014-16,New York,all,All,20
2016-17,New York,all,All,20
2017-18,New York,all,All,21
2018-19,New York,all,All,22
2019-20,New York,all,All,24
2009-11,North Carolina,all,All,22
2012-14,North Carolina,all,All,22
2013-15,North Carolina,all,All,24
2014-16,North Carolina,all,All,24
2016-17,North Carolina,all,All,22
2017-18,North Carolina,all,All,27
2018-19,North Carolina,all,All,27
2019-20,North Carolina,all,All,26
2009-11,North Dakota,all,All,17
2012-14,North Dakota,all,All,22
2013-15,North Dakota,all,All,21
2014-16,North Dakota,all,All,19
2016-17,North Dakota,all,All,21
2017-18,North Dakota,all,All,23
2018-19,North Dakota,all,All,26
2019-20,North Dakota,all,All,28
2009-11,Ohio,all,All,20
2012-14,Ohio,all,All,21
2013-15,Ohio,all,All,20
2014-16,Ohio,all,All,20
2016-17,Ohio,all,All,20
2017-18,Ohio,all,All,22
2018-19,Ohio,all,All,25
2019-20,Ohio,all,All,28
2009-11,Oklahoma,all,All,18
2012-14,Oklahoma,all,All,20
2013-15,Oklahoma,all,All,22
2014-16,Oklahoma,all,All,20
2016-17,Oklahoma,all,All,22
2017-18,Oklahoma,all,All,24
2018-19,Oklahoma,all,All,23
2019-20,Oklahoma,all,All,26
2009-11,Oregon,all,All,26
2012-14,Oregon,all,All,24
2013-15,Oregon,all,All,25
2014-16,Oregon,all,All,25
2016-17,Oregon,all,All,29
2017-18,Oregon,all,All,30
2018-19,Oregon,all,All,29
2019-20,Oregon,all,All,33
2009-11,Pennsylvania,all,All,21
2012-14,Pennsylvania,all,All,21
2013-15,Pennsylvania,all,All,21
2014-16,Pennsylvania,all,All,22
2016-17,Pennsylvania,all,All,25
2017-18,Pennsylvania,all,All,27
2018-19,Pennsylvania,all,All,26
2019-20,Pennsylvania,all,All,25
2009-11,Rhode Island,all,All,27
2012-14,Rhode Island,all,All,18
2013-15,Rhode Island,all,All,18
2014-16,Rhode Island,all,All,17
2016-17,Rhode Island,all,All,24
2017-18,Rhode Island,all,All,28
2018-19,Rhode Island,all,All,25
2019-20,Rhode Island,all,All,28
2009-11,South Carolina,all,All,22
2012-14,South Carolina,all,All,20
2013-15,South Carolina,all,All,21
2014-16,South Carolina,all,All,21
2016-17,South Carolina,all,All,25
2017-18,South Carolina,all,All,27
2018-19,South Carolina,all,All,20
2019-20,South Carolina,all,All,21
2009-11,South Dakota,all,All,17
2012-14,South Dakota,all,All,21
2013-15,South Dakota,all,All,20
2014-16,South Dakota,all,All,20
2016-17,South Dakota,all,All,22
2017-18,South Dakota,all,All,26
2018-19,South Dakota,all,All,25
2019-20,South Dakota,all,All,27
2009-11,Tennessee,all,All,16
2012-14,Tennessee,all,All,22
2013-15,Tennessee,all,All,20
2014-16,Tennessee,all,All,21
2016-17,Tennessee,all,All,22
2017-18,Tennessee,all,All,21
